Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Day_of_Week,Vader_Score,temp_list
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",negative,2020-01-05 20:00:00,CanvasDreamer,Instagram,#Melancholy #BittersweetMemories,13,26,USA,2020,January,5,20,Sunday,-0.4939,"['Melancholy', 'painting', 'the', 'world', 'in', 'hues', 'of', 'nostalgia,', 'a', 'canvas', 'of', 'bittersweet', 'memories.']"
" A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",neutral,2018-08-10 15:45:00,DiaryExplorer,Facebook,#Nostalgia #DiaryJourney,12,25,Canada,2018,August,10,15,Friday,0.0,"['A', 'journey', 'into', 'the', 'past,', 'flipping', 'through', 'the', 'pages', 'of', 'an', 'old', 'diary,', 'nostalgia', 'taking', 'the', 'lead.']"
" Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",negative,2022-01-15 10:30:00,CrossroadsTraveler,Twitter,#Ambivalence #ConflictingEmotions,15,30,India,2022,January,15,10,Saturday,-0.4019,"['Ambivalence', 'clouding', 'decisions,', 'caught', 'in', 'the', 'crossroads', 'of', 'conflicting', 'emotions.']"
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",positive,2021-07-20 16:20:00,MosaicDreamer,Instagram,#Acceptance #BeautifulChaos,18,36,Australia,2021,July,20,16,Tuesday,0.4939,"['Embracing', 'imperfections,', 'finding', 'acceptance', 'in', 'the', 'mosaic', 'of', ""life's"", 'beautiful', 'chaos.']"
" Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",positive,2019-12-03 13:45:00,PathfinderSpirit,Facebook,#Determination #ExtraordinaryPath,20,40,USA,2019,December,3,13,Tuesday,0.4019,"['Determination', 'as', 'the', 'driving', 'force,', 'propelling', 'me', 'forward', 'on', 'the', 'path', 'to', 'extraordinary', 'achievements.']"
" Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",positive,2020-04-12 19:30:00,RaindropHarmony,Twitter,#Serenity #RaindropMelody,25,50,Canada,2020,April,12,19,Sunday,0.2263,"['Seeking', 'serenity', 'in', 'the', 'melody', 'of', 'raindrops,', 'a', 'tranquil', 'escape', 'from', 'the', 'noise', 'of', 'everyday', 'life.']"
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",positive,2022-05-08 08:45:00,SeekerOfUnknowns,Instagram,#Curiosity #SeekerOfKnowledge,22,45,UK,2022,May,8,8,Sunday,0.2263,"['Curiosity', 'driving', 'the', 'exploration', 'of', 'the', 'unknown,', 'a', 'seeker', 'of', 'knowledge', 'in', 'uncharted', 'territories.']"
" Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",negative,2023-02-22 17:00:00,NonchalantWanderer,Facebook,#Indifference #DriftingThroughLife,9,18,India,2023,February,22,17,Wednesday,-0.4215,"['Drifting', 'through', 'the', 'day', 'with', 'an', 'air', 'of', 'nonchalance,', 'indifferent', 'to', 'the', 'trivialities', 'of', 'life.']"
" Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",negative,2020-06-05 12:15:00,ShadowedSeeker,Twitter,#Confusion #LabyrinthOfThoughts,14,28,Australia,2020,June,5,12,Friday,-0.2023,"['Lost', 'in', 'the', 'labyrinth', 'of', 'thoughts,', 'confusion', 'casting', 'shadows', 'on', 'the', 'quest', 'for', 'clarity.']"
" Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",negative,2021-11-30 15:30:00,TurbulentShield,Instagram,#Numbness #EmotionalStorms,10,20,Canada,2021,November,30,15,Tuesday,-0.128,"['Wrapped', 'in', 'the', 'cloak', 'of', 'emotional', 'numbness,', 'a', 'shield', 'against', 'the', 'storms', 'of', ""life's"", 'turbulence.']"
" Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",negative,2019-02-25 21:00:00,WistfulPainter,Facebook,#Melancholy #WistfulYearning,13,26,UK,2019,February,25,21,Monday,-0.34,"['Melancholy', 'as', 'a', 'companion,', 'painting', 'the', 'canvas', 'of', 'life', 'with', 'the', 'brushstrokes', 'of', 'wistful', 'yearning.']"
" Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",positive,2017-05-18 14:45:00,TaleWeaver,Twitter,#Nostalgia #PhotoAlbumStories,12,25,USA,2017,May,18,14,Thursday,0.3182,"['Leafing', 'through', 'the', 'pages', 'of', 'an', 'old', 'photo', 'album,', 'nostalgia', 'weaving', 'tales', 'of', 'laughter', 'and', 'tears.']"
" Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",negative,2022-08-05 11:30:00,CrossroadsExplorer,Instagram,#Ambivalence #CrossroadsConfusion,15,30,Canada,2022,August,5,11,Friday,-0.4019,"['Ambivalence', 'in', 'the', 'air,', 'caught', 'between', 'the', 'crossroads', 'of', 'conflicting', 'emotions', 'and', 'decisions.']"
" Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",positive,2023-06-15 16:20:00,MosaicArtist,Facebook,#Acceptance #UnpredictableArt,18,36,Australia,2023,June,15,16,Thursday,0.7783,"['Embracing', 'the', 'beauty', 'in', 'imperfections,', 'finding', 'acceptance', 'in', 'the', 'mosaic', 'of', ""life's"", 'unpredictable', 'art.']"
" Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",positive,2021-10-10 14:45:00,DreamSculptor,Twitter,#Determination #SculptingDreams,20,40,UK,2021,October,10,14,Sunday,0.6908,"['Determination', 'ablaze,', 'forging', 'a', 'path', 'through', 'challenges,', 'sculpting', 'dreams', 'into', 'tangible', 'realities.']"
" Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",positive,2020-05-12 19:30:00,MoonlitSoul,Instagram,#Serenity #MoonlitPeace,25,50,USA,2020,May,12,19,Tuesday,0.5423,"['Immerse', 'in', 'the', 'serenity', 'of', 'a', 'moonlit', 'night,', 'where', 'the', 'quiet', 'whispers', 'of', 'nature', 'bring', 'peace', 'to', 'the', 'soul.']"
" Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",positive,2022-12-01 09:15:00,FearlessExplorer,Facebook,#Curiosity #FearlessExplorer,22,44,India,2022,December,1,9,Thursday,0.4404,"['Fueled', 'by', 'curiosity,', 'venturing', 'into', 'uncharted', 'realms,', 'a', 'fearless', 'explorer', 'of', 'the', 'mysteries', 'of', 'the', 'world.']"
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",negative,2021-11-30 15:30:00,TurbulentShield,Instagram,#Numbness #EmotionalStorms,10,20,Canada,2021,November,30,15,Tuesday,-0.128,"['Wrapped', 'in', 'the', 'cloak', 'of', 'emotional', 'numbness,', 'a', 'shield', 'against', 'the', 'storms', 'of', ""life's"", 'turbulence.']"
" Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",positive,2018-07-12 17:45:00,JoyfulDancer,Twitter,#Zest #CarefreeSpirit,15,30,USA,2018,July,12,17,Thursday,0.802,"['Dancing', 'through', 'life', 'with', 'the', 'exuberance', 'of', 'a', 'carefree', 'spirit,', 'embracing', 'joy', 'and', 'zest', 'at', 'every', 'turn.']"
" Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",positive,2020-09-05 20:10:00,SereneBasker,Facebook,#Contentment #GoldenGlow,18,36,Australia,2020,September,5,20,Saturday,0.6705,"['Basking', 'in', 'the', 'golden', 'glow', 'of', 'contentment,', 'a', 'serene', 'river', 'flowing', 'through', 'the', 'landscape', 'of', 'the', 'heart.']"
" Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",positive,2022-04-18 08:00:00,DreamPainter,Instagram,#Hopeful #CanvasOfDreams,12,24,India,2022,April,18,8,Monday,0.8591,"['Gazing', 'towards', 'the', 'horizon', 'with', 'hopeful', 'eyes,', 'painting', 'a', 'canvas', 'of', 'dreams', 'illuminated', 'by', 'the', 'sun', 'of', 'optimism.']"
" Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",positive,2019-12-10 12:20:00,OakAchiever,Twitter,#Proud #BranchesOfAchievement,25,50,Canada,2019,December,10,12,Tuesday,0.5994,"['Standing', 'tall,', 'proud', 'as', 'an', 'oak,', 'the', 'branches', 'of', 'achievement', 'reaching', 'towards', 'the', 'sky', 'of', 'accomplishment.']"
" A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",positive,2023-02-28 09:45:00,HeartGardener,Facebook,#Grateful #BlossomingConnection,20,40,USA,2023,February,28,9,Tuesday,0.8625,"['A', 'heart', 'overflowing', 'with', 'gratitude,', 'a', 'garden', 'where', 'appreciation', 'blooms', 'in', 'the', 'soil', 'of', 'kindness', 'and', 'connection.']"
" Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",positive,2018-04-03 14:15:00,ThreadWeaver,Instagram,#Empathetic #TapestryOfUnderstanding,15,30,UK,2018,April,3,14,Tuesday,0.7579,"['Extending', 'a', 'hand,', 'empathetic', 'threads', 'weaving', 'a', 'tapestry', 'of', 'understanding,', 'embracing', 'the', 'joys', 'and', 'sorrows', 'of', 'others.']"
" Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",positive,2022-06-20 10:30:00,CloudCaretaker,Twitter,#Compassionate #ShowerOfEmpathy,18,36,Australia,2022,June,20,10,Monday,0.5106,"['Compassionate', 'clouds,', 'heavy', 'with', 'care,', 'showering', 'empathy', 'on', 'the', 'parched', 'grounds', 'of', 'human', 'suffering.']"
" Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",positive,2020-07-08 18:00:00,RainDancer,Facebook,#Playful #DanceInTheRain,22,44,Canada,2020,July,8,18,Wednesday,0.891,"['Playfully', 'dancing', 'in', 'the', 'rain', 'of', 'laughter,', 'a', 'whimsical', 'spirit', 'twirling', 'in', 'the', 'puddles', 'of', 'joy', 'and', 'lightheartedness.']"
" Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",positive,2021-08-15 11:10:00,SkyPainter,Instagram,#FreeSpirit #PaintingTheSky,20,40,India,2021,August,15,11,Sunday,0.6124,"['Soaring', 'on', 'the', 'wings', 'of', 'a', 'free', 'spirit,', 'unburdened', 'by', 'the', 'chains', 'of', 'conformity,', 'painting', 'the', 'sky', 'with', 'independence.']"
" Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",positive,2019-10-25 16:50:00,PhoenixExplorer,Twitter,#Inspired #CreativePhoenix,15,30,UK,2019,October,25,16,Friday,0.743,"['Bathed', 'in', 'the', 'glow', 'of', 'inspiration,', 'a', 'creative', 'phoenix', 'rising', 'from', 'the', 'ashes', 'of', 'ordinary', 'thoughts', 'to', 'explore', 'new', 'realms.']"
" Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",positive,2023-10-05 07:30:00,SunriseNavigator,Facebook,#Hopeful #SunriseOfPossibilities,12,24,USA,2023,October,5,7,Thursday,0.8779,"['Navigating', 'the', 'sea', 'of', 'hope,', 'sailing', 'towards', 'the', 'sunrise', 'of', 'possibilities,', 'confident', 'in', 'the', 'ship', 'of', 'positive', 'anticipation.']"
" Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",positive,2022-02-15 13:15:00,SandStrider,Instagram,#Confident #FootprintsOfAssuredness,25,50,Australia,2022,February,15,13,Tuesday,0.5574,"['Striding', 'with', 'confidence,', 'footprints', 'of', 'self-assuredness', 'imprinted', 'on', 'the', 'sands', 'of', 'challenges', 'conquered', 'and', 'victories', 'claimed.']"
" Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",positive,2021-05-08 22:00:00,NightSerenader,Twitter,#Serenity #MoonlitSerenade,13,26,Canada,2021,May,8,22,Saturday,0.1027,"['Lost', 'in', 'the', 'symphony', 'of', 'the', 'night,', 'a', 'moonlit', 'serenade', 'that', 'whispers', 'tales', 'of', 'wanderlust', 'and', 'moonlit', 'dreams.']"
" Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",positive,2020-11-29 14:45:00,KnowledgeSeeker,Instagram,#Curiosity #LabyrinthOfQuestions,17,34,USA,2020,November,29,14,Sunday,0.296,"['Unveiling', 'the', 'layers', 'of', 'curiosity,', 'a', 'labyrinth', 'of', 'questions', 'leading', 'to', 'the', 'treasure', 'troves', 'of', 'undiscovered', 'knowledge.']"
" In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",neutral,2019-09-14 10:20:00,BreezeWaltzer,Facebook,#Ambivalence #AutumnWaltz,14,28,UK,2019,September,14,10,Saturday,-0.0258,"['In', 'the', 'embrace', 'of', 'the', 'autumn', 'breeze,', 'leaves', 'of', 'ambivalence', 'dancing', 'in', 'a', 'waltz', 'between', 'choices', 'and', 'uncertainties.']"
" Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",positive,2022-03-12 19:55:00,StarNavigator,Twitter,#Grateful #GuidingStar,19,38,Australia,2022,March,12,19,Saturday,0.8885,"['Gratitude', 'as', 'a', 'guiding', 'star,', 'navigating', 'the', 'constellation', 'of', 'blessings', 'in', 'the', 'vast', 'universe', 'of', ""life's"", 'precious', 'moments.']"
" With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",positive,2023-03-30 16:30:00,MeadowSprinter,Instagram,#Zest #FieldsOfEnthusiasm,16,32,India,2023,March,30,16,Thursday,0.872,"['With', 'a', 'zestful', 'heart,', 'sprinting', 'through', 'fields', 'of', 'enthusiasm,', 'chasing', 'sunbeams', 'and', 'laughter', 'in', 'the', 'meadows', 'of', 'joy.']"
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",positive,2021-07-01 12:10:00,RainNurturer,Facebook,#Compassionate #TearsOfEmpathy,21,42,Canada,2021,July,1,12,Thursday,0.8658,"['A', 'compassionate', 'rain,', 'tears', 'of', 'empathy', 'falling', 'gently,', 'nurturing', 'the', 'seeds', 'of', 'kindness', 'in', 'the', 'garden', 'of', 'human', 'connections.']"
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",positive,2020-01-05 08:45:00,PeakConqueror,Twitter,#Proud #ScalingPeaks,23,46,USA,2020,January,5,8,Sunday,0.8225,"['Proudly', 'scaling', 'the', 'peaks', 'of', 'achievement,', 'a', 'mountaineer', 'conquering', 'challenges', 'and', 'planting', 'the', 'flag', 'of', 'success.']"
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",positive,2022-07-17 06:15:00,DawnGardener,Instagram,#Hopeful #SeedsOfOptimism,14,28,UK,2022,July,17,6,Sunday,0.8555,"['Embraced', 'by', 'the', 'hopeful', 'dawn,', 'a', 'gardener', 'sowing', 'seeds', 'of', 'optimism,', 'tending', 'to', 'the', 'blooms', 'of', 'a', 'brighter', 'tomorrow.']"
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",positive,2018-08-22 17:20:00,CarnivalDreamer,Facebook,#Playful #CarnivalEscapade,24,48,Australia,2018,August,22,17,Wednesday,0.9169,"['A', 'playful', 'escapade', 'in', 'the', 'carnival', 'of', 'life,', 'carousel', 'laughter', 'and', 'cotton', 'candy', 'dreams', 'swirling', 'in', 'the', 'joyous', 'atmosphere.']"
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",positive,2021-12-08 14:30:00,SkyArtist,Twitter,#Inspired #CloudsOfCreativity,18,36,India,2021,December,8,14,Wednesday,0.9325,"['Floating', 'on', 'clouds', 'of', 'inspiration,', 'an', 'artist', 'painting', 'the', 'sky', 'with', 'strokes', 'of', 'creativity,', 'creating', 'a', 'masterpiece', 'of', 'dreams.']"
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",positive,2019-04-27 09:50:00,RiverNavigator,Instagram,#Contentment #TranquilWaters,20,40,Canada,2019,April,27,9,Saturday,0.9042,"['Navigating', 'the', 'river', 'of', 'contentment,', 'a', 'serene', 'boat', 'cruise', 'through', 'the', 'tranquil', 'waters', 'of', 'inner', 'peace', 'and', 'acceptance.']"
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",positive,2023-09-03 21:40:00,LanternWanderer,Facebook,#Empathetic #LanternOfCompassion,16,32,USA,2023,September,3,21,Sunday,0.4215,"['With', 'empathy', 'as', 'a', 'lantern,', 'wandering', 'through', 'the', 'dark', 'alleys', 'of', 'sorrow,', 'illuminating', 'the', 'path', 'with', 'compassion', 'and', 'care.']"
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",positive,2020-06-10 10:05:00,DreamSoarer,Twitter,#FreeSpirit #WingsOfDreams,22,44,UK,2020,June,10,10,Wednesday,0.7717,"['A', 'free', 'spirit', 'soaring', 'on', 'the', 'wings', 'of', 'dreams,', 'leaving', 'trails', 'of', 'independence', 'in', 'the', 'azure', 'sky', 'of', 'boundless', 'possibilities.']"
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",positive,2022-04-01 18:30:00,SunsetAdmirer,Instagram,#Grateful #GoldenHues,19,38,Australia,2022,April,1,18,Friday,0.8126,"['Bathed', 'in', 'the', 'golden', 'hues', 'of', 'gratefulness,', 'a', 'sunset', 'of', 'appreciation', 'casting', 'its', 'warm', 'glow', 'on', 'the', 'landscapes', 'of', 'the', 'heart.']"
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",positive,2021-01-15 13:00:00,DanceStrider,Facebook,#Confident #DanceOfLife,23,46,Canada,2021,January,15,13,Friday,0.743,"['Confident', 'strides', 'in', 'the', 'dance', 'of', 'life,', 'a', 'ballroom', 'where', 'self-assuredness', 'leads,', 'twirling', 'through', 'challenges', 'with', 'grace.']"
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",positive,2023-05-06 07:20:00,WindWhisperer,Twitter,#Hopeful #BrighterTomorrows,15,30,India,2023,May,6,7,Saturday,0.9001,"['Hopeful', 'whispers', 'of', 'wind,', 'carrying', 'the', 'promises', 'of', 'a', 'brighter', 'tomorrow,', 'a', 'symphony', 'of', 'optimism', 'in', 'the', 'air', 'of', 'possibilities.']"
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",positive,2019-11-18 15:15:00,JugglingArtist,Instagram,#Playful #JugglingResponsibilities,25,50,USA,2019,November,18,15,Monday,0.8625,"['Playfully', 'juggling', 'responsibilities,', 'a', 'circus', 'performer', 'balancing', 'the', 'acts', 'of', 'work', 'and', 'joy,', 'tossing', 'laughter', 'into', 'the', 'air.']"
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",positive,2020-08-29 20:45:00,StarStoryteller,Facebook,#Inspired #TalesToTheStars,14,28,UK,2020,August,29,20,Saturday,0.5267,"['Whispering', 'tales', 'of', 'inspiration', 'to', 'the', 'stars,', 'a', 'storyteller', 'crafting', 'constellations', 'from', 'the', 'threads', 'of', 'imagination.']"
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",positive,2022-10-30 11:40:00,WaveNavigator,Twitter,#Hopeful #SailorOfDreams,17,34,Australia,2022,October,30,11,Sunday,0.7506,"['Charting', 'a', 'course', 'through', 'the', 'waves', 'of', 'hopeful', 'anticipation,', 'a', 'sailor', 'steering', 'towards', 'the', 'shores', 'of', 'dreams', 'yet', 'unexplored.']"
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",positive,2021-07-01 12:10:00,RainNurturer,Instagram,#Compassionate #TearsOfEmpathy,21,42,Canada,2021,July,1,12,Thursday,0.8658,"['A', 'compassionate', 'rain,', 'tears', 'of', 'empathy', 'falling', 'gently,', 'nurturing', 'the', 'seeds', 'of', 'kindness', 'in', 'the', 'garden', 'of', 'human', 'connections.']"
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",positive,2020-01-05 08:45:00,PeakConqueror,Twitter,#Proud #ScalingPeaks,23,46,USA,2020,January,5,8,Sunday,0.8225,"['Proudly', 'scaling', 'the', 'peaks', 'of', 'achievement,', 'a', 'mountaineer', 'conquering', 'challenges', 'and', 'planting', 'the', 'flag', 'of', 'success.']"
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",positive,2022-07-17 06:15:00,DawnGardener,Instagram,#Hopeful #SeedsOfOptimism,14,28,UK,2022,July,17,6,Sunday,0.8555,"['Embraced', 'by', 'the', 'hopeful', 'dawn,', 'a', 'gardener', 'sowing', 'seeds', 'of', 'optimism,', 'tending', 'to', 'the', 'blooms', 'of', 'a', 'brighter', 'tomorrow.']"
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",positive,2018-08-22 17:20:00,CarnivalDreamer,Facebook,#Playful #CarnivalEscapade,24,48,Australia,2018,August,22,17,Wednesday,0.9169,"['A', 'playful', 'escapade', 'in', 'the', 'carnival', 'of', 'life,', 'carousel', 'laughter', 'and', 'cotton', 'candy', 'dreams', 'swirling', 'in', 'the', 'joyous', 'atmosphere.']"
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",positive,2021-12-08 14:30:00,SkyArtist,Twitter,#Inspired #CloudsOfCreativity,18,36,India,2021,December,8,14,Wednesday,0.9325,"['Floating', 'on', 'clouds', 'of', 'inspiration,', 'an', 'artist', 'painting', 'the', 'sky', 'with', 'strokes', 'of', 'creativity,', 'creating', 'a', 'masterpiece', 'of', 'dreams.']"
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",positive,2019-04-27 09:50:00,RiverNavigator,Instagram,#Contentment #TranquilWaters,20,40,Canada,2019,April,27,9,Saturday,0.9042,"['Navigating', 'the', 'river', 'of', 'contentment,', 'a', 'serene', 'boat', 'cruise', 'through', 'the', 'tranquil', 'waters', 'of', 'inner', 'peace', 'and', 'acceptance.']"
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",positive,2023-09-03 21:40:00,LanternWanderer,Facebook,#Empathetic #LanternOfCompassion,16,32,USA,2023,September,3,21,Sunday,0.4215,"['With', 'empathy', 'as', 'a', 'lantern,', 'wandering', 'through', 'the', 'dark', 'alleys', 'of', 'sorrow,', 'illuminating', 'the', 'path', 'with', 'compassion', 'and', 'care.']"
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",positive,2020-06-10 10:05:00,DreamSoarer,Twitter,#FreeSpirit #WingsOfDreams,22,44,UK,2020,June,10,10,Wednesday,0.7717,"['A', 'free', 'spirit', 'soaring', 'on', 'the', 'wings', 'of', 'dreams,', 'leaving', 'trails', 'of', 'independence', 'in', 'the', 'azure', 'sky', 'of', 'boundless', 'possibilities.']"
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",positive,2022-04-01 18:30:00,SunsetAdmirer,Instagram,#Grateful #GoldenHues,19,38,Australia,2022,April,1,18,Friday,0.8126,"['Bathed', 'in', 'the', 'golden', 'hues', 'of', 'gratefulness,', 'a', 'sunset', 'of', 'appreciation', 'casting', 'its', 'warm', 'glow', 'on', 'the', 'landscapes', 'of', 'the', 'heart.']"
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",positive,2021-01-15 13:00:00,DanceStrider,Facebook,#Confident #DanceOfLife,23,46,Canada,2021,January,15,13,Friday,0.743,"['Confident', 'strides', 'in', 'the', 'dance', 'of', 'life,', 'a', 'ballroom', 'where', 'self-assuredness', 'leads,', 'twirling', 'through', 'challenges', 'with', 'grace.']"
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",positive,2023-05-06 07:20:00,WindWhisperer,Twitter,#Hopeful #BrighterTomorrows,15,30,India,2023,May,6,7,Saturday,0.9001,"['Hopeful', 'whispers', 'of', 'wind,', 'carrying', 'the', 'promises', 'of', 'a', 'brighter', 'tomorrow,', 'a', 'symphony', 'of', 'optimism', 'in', 'the', 'air', 'of', 'possibilities.']"
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",positive,2019-11-18 15:15:00,JugglingArtist,Instagram,#Playful #JugglingResponsibilities,25,50,USA,2019,November,18,15,Monday,0.8625,"['Playfully', 'juggling', 'responsibilities,', 'a', 'circus', 'performer', 'balancing', 'the', 'acts', 'of', 'work', 'and', 'joy,', 'tossing', 'laughter', 'into', 'the', 'air.']"
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",positive,2020-08-29 20:45:00,StarStoryteller,Facebook,#Inspired #TalesToTheStars,14,28,UK,2020,August,29,20,Saturday,0.5267,"['Whispering', 'tales', 'of', 'inspiration', 'to', 'the', 'stars,', 'a', 'storyteller', 'crafting', 'constellations', 'from', 'the', 'threads', 'of', 'imagination.']"
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",positive,2022-10-30 11:40:00,WaveNavigator,Twitter,#Hopeful #SailorOfDreams,17,34,Australia,2022,October,30,11,Sunday,0.7506,"['Charting', 'a', 'course', 'through', 'the', 'waves', 'of', 'hopeful', 'anticipation,', 'a', 'sailor', 'steering', 'towards', 'the', 'shores', 'of', 'dreams', 'yet', 'unexplored.']"
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",positive,2021-07-01 12:10:00,RainNurturer,Instagram,#Compassionate #TearsOfEmpathy,21,42,Canada,2021,July,1,12,Thursday,0.8658,"['A', 'compassionate', 'rain,', 'tears', 'of', 'empathy', 'falling', 'gently,', 'nurturing', 'the', 'seeds', 'of', 'kindness', 'in', 'the', 'garden', 'of', 'human', 'connections.']"
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",positive,2020-01-05 08:45:00,PeakConqueror,Twitter,#Proud #ScalingPeaks,23,46,USA,2020,January,5,8,Sunday,0.8225,"['Proudly', 'scaling', 'the', 'peaks', 'of', 'achievement,', 'a', 'mountaineer', 'conquering', 'challenges', 'and', 'planting', 'the', 'flag', 'of', 'success.']"
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",positive,2022-07-17 06:15:00,DawnGardener,Instagram,#Hopeful #SeedsOfOptimism,14,28,India,2022,July,17,6,Sunday,0.8555,"['Embraced', 'by', 'the', 'hopeful', 'dawn,', 'a', 'gardener', 'sowing', 'seeds', 'of', 'optimism,', 'tending', 'to', 'the', 'blooms', 'of', 'a', 'brighter', 'tomorrow.']"
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",positive,2018-08-22 17:20:00,CarnivalDreamer,Facebook,#Playful #CarnivalEscapade,24,48,Australia,2018,August,22,17,Wednesday,0.9169,"['A', 'playful', 'escapade', 'in', 'the', 'carnival', 'of', 'life,', 'carousel', 'laughter', 'and', 'cotton', 'candy', 'dreams', 'swirling', 'in', 'the', 'joyous', 'atmosphere.']"
